time,AvgDist,ecuSpeed,OPS,ecuTPS,RPM,avgTPS,TPS_setpoint,Lambda,ETC_setpoint,APPS1,BSPot,BSPres,SB_errorSum,SB_setpoint,BrakeLight,ProximitySensorArm,ProximitySensorBil,Clutch_LoadCell,Clutch_pot,gear,speed_fl,speed_fr,speed_rl,speed_rr,avgSpeed,SteeringPotA,SteeringPotP,SteeringSpeed,SteeringPWM,SteeringErrorSum,Ax,Ay,YawRate,YawAcc,loadCell_fl,loadCell_fr,loadCell_rl,loadCell_rr
1.528010,0.000000,0.000000,0.187500,35.500000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.954033,725,0.124849,0,0.000000,0,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.990000,0.118788,-0.021304,-0.065000,0.000000,0.000000,0.000000,0.000000,0.000000
1.551821,0.000000,0.000000,0.187500,40.000000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.954033,725,0.124849,0,0.000000,0,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.990000,0.098791,-0.006307,-0.065000,0.000000,0.000000,0.000000,0.000000,0.000000
1.575758,0.000000,0.000000,0.187500,40.000000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.954033,725,0.124849,0,0.000000,0,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.990000,0.098791,-0.023804,-0.055000,0.000000,0.000000,0.000000,0.000000,0.000000
1.595853,0.000000,0.000000,0.187500,44.500000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.954033,725,0.124849,0,0.000000,0,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.990000,0.098791,-0.045050,-0.060000,0.000000,0.000000,0.000000,0.000000,0.000000
1.619723,0.000000,0.000000,0.187500,44.500000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.954033,725,0.124849,0,0.000000,0,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.990000,0.078795,-0.023804,-0.055000,0.000000,0.000000,0.000000,0.000000,0.000000
1.643546,0.000000,0.000000,0.187500,48.000000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.954033,725,0.124849,0,0.000000,0,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.990000,0.098791,0.006191,-0.045000,0.000000,0.000000,0.000000,0.000000,0.000000
1.667658,0.000000,0.000000,0.187500,48.000000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.954033,725,0.124849,0,0.000000,0,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.990000,0.078795,-0.023804,-0.050000,0.000000,0.000000,0.000000,0.000000,0.000000
1.691459,0.000000,0.000000,0.187500,52.500000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.954033,725,0.124849,0,0.000000,0,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.990000,0.078795,-0.040051,-0.075000,-5.000000,0.000000,0.000000,0.000000,0.000000
1.715364,0.000000,0.000000,0.187500,52.500000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.954033,725,0.124849,0,0.000000,0,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.990000,0.098791,-0.006307,-0.065000,0.000000,0.000000,0.000000,0.000000,0.000000
1.739300,0.000000,0.000000,0.187500,56.000000,0.000000,0.000000,0.000000,1.007812,0.000000,-7.954033,725,0.124849,0,0.000000,0,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.990000,0.118788,-0.000058,-0.060000,0.000000,0.000000,0.000000,0.000000,0.000000
